light,ax,ay,az,gx,gy,gz,label
88,-0.0034,0.0007,1.0061,-0.2441,0.1221,-0.3052,stable
88,-0.0032,0.001,1.0056,-0.2441,0.1831,-0.2441,stable
87,-0.0042,0.001,1.0054,-0.3052,0.1221,-0.2441,stable
87,-0.0037,0.0007,1.0051,-0.3662,0.1221,-0.2441,stable
87,-0.004,0.0005,1.0059,-0.2441,0.1221,-0.2441,stable
87,-0.0035,0.0018,1.0054,-0.2441,0.1221,-0.3052,stable
87,-0.004,0.0001,1.0055,-0.2441,0.1831,-0.1831,stable
87,-0.0032,0.0022,1.0059,-0.2441,0.1221,-0.3052,stable
88,-0.0044,0.0007,1.0062,-0.1831,0.1221,-0.1831,stable
88,-0.0037,0.0006,1.0059,-0.3052,0.1831,-0.3052,stable
88,-0.0042,0.0004,1.0062,-0.1831,0.1221,-0.2441,stable
88,-0.0033,0.0006,1.006,-0.2441,0.1221,-0.2441,stable
88,-0.0033,0.0007,1.006,-0.3052,0.1221,-0.3052,stable
87,-0.0037,0.0021,1.0048,-0.2441,0.1221,-0.2441,stable
87,-0.0031,0.0011,1.0061,-0.1831,0.061,-0.1831,stable
87,-0.0037,0.0016,1.0056,-0.3662,0.1831,-0.2441,stable
87,-0.0024,0.0007,1.0072,-0.2441,0.061,-0.1831,stable
87,-0.0034,0.0005,1.0059,-0.2441,0.1221,-0.3052,stable
88,-0.0038,0,1.0046,-0.3052,0.1831,-0.1831,stable
88,-0.0044,0.0012,1.0049,-0.2441,0.1221,-0.2441,stable
87,-0.0037,0.0018,1.007,-0.3052,0.1221,-0.2441,stable
87,-0.0044,0.0013,1.0049,-0.2441,0.1221,-0.1831,stable
87,-0.0029,0.0013,1.0061,-0.2441,0.2441,-0.1831,stable
87,-0.0029,-0.0001,1.007,-0.2441,0.1831,-0.1831,stable
87,-0.0039,0.0006,1.0055,-0.1831,0.1221,-0.2441,stable
87,-0.004,0.0011,1.0054,-0.3052,0.1221,-0.1831,stable
87,-0.0038,0.0001,1.0065,-0.1831,0.1221,-0.2441,stable
88,-0.0023,0.0002,1.0056,-0.3052,0.061,-0.1831,stable
88,-0.0032,0.0006,1.0052,-0.2441,0.1221,-0.2441,stable
88,-0.0029,-0.0002,1.0062,-0.2441,0.061,-0.1831,stable
88,-0.0035,0.001,1.0044,-0.3052,0.1831,-0.2441,stable
88,-0.0037,0.0015,1.0057,-0.1831,0.1831,-0.3052,stable
88,-0.0042,0.0028,1.0057,-0.3052,0.1831,-0.1831,stable
88,-0.0051,0.0023,1.0063,-0.2441,0.1221,-0.2441,stable
88,-0.0057,0.0024,1.0059,-0.2441,0.1221,-0.1831,stable
88,-0.0046,0.0017,1.0057,-0.3052,0.1831,-0.2441,stable
88,-0.0057,0.0015,1.006,-0.3052,0.1831,-0.2441,stable
88,-0.0034,0.0004,1.0061,-0.2441,0.1831,-0.2441,stable
88,-0.0032,0.0001,1.0062,-0.3052,0.1221,-0.2441,stable
88,-0.0031,0.0016,1.0056,-0.2441,0.1831,-0.2441,stable
88,-0.0035,0.0002,1.0066,-0.2441,0.1221,-0.2441,stable
88,-0.0037,0.0002,1.0049,-0.2441,0.1221,-0.2441,stable
88,-0.0037,0.0011,1.0076,-0.1831,0.1221,-0.1831,stable
88,-0.0039,0.0005,1.0065,-0.2441,0.1221,-0.2441,stable
88,-0.0039,0.0021,1.0056,-0.2441,0.1221,-0.1831,stable
88,-0.0052,0.0016,1.0061,-0.1831,0.1221,-0.1831,stable
88,-0.0043,0.0018,1.0059,-0.2441,0.1221,-0.2441,stable
88,-0.0044,0.0009,1.0052,-0.2441,0.1831,-0.1831,stable
88,-0.0046,0.001,1.0063,-0.2441,0.1831,-0.1831,stable
88,-0.0033,0.0012,1.006,-0.1831,0.1831,-0.2441,stable
88,-0.0039,0.0013,1.0048,-0.2441,0.1831,-0.2441,stable
88,-0.0038,0.0005,1.005,-0.3052,0.1221,-0.1831,stable
88,-0.0039,0.0011,1.0054,-0.3052,0.1831,-0.2441,stable
88,-0.0031,0.0002,1.0048,-0.3052,0.1831,-0.1831,stable
88,-0.0037,0.0004,1.0063,-0.2441,0.2441,-0.2441,stable
88,-0.0032,-0.0001,1.005,-0.2441,0.2441,-0.2441,stable
88,-0.0027,0,1.006,-0.1831,0.1221,-0.2441,stable
89,-0.0033,0.0018,1.0045,-0.2441,0.1831,-0.3052,stable
89,-0.0037,0.0021,1.0054,-0.2441,0.1221,-0.1831,stable
89,-0.0043,0.0006,1.0084,-0.1221,0.2441,-0.1831,stable
89,-0.0046,0.0023,1.0051,-0.3052,0.061,-0.3052,stable
89,-0.0035,0.0009,1.0056,-0.3662,0.1221,-0.2441,stable
89,-0.0039,0.0009,1.0063,-0.2441,0.061,-0.2441,stable
89,-0.004,0.0001,1.0063,-0.2441,0.1831,-0.2441,stable
89,-0.0027,0.0002,1.0051,-0.3052,0.061,-0.2441,stable
89,-0.0022,0.0006,1.0049,-0.1831,0.1831,-0.2441,stable
88,-0.0032,0.0004,1.0045,-0.3052,0.1221,-0.1831,stable
88,-0.0038,0.001,1.0063,-0.2441,0.1221,-0.2441,stable
88,-0.0042,0.0017,1.0063,-0.1831,0.1221,-0.2441,stable
88,-0.0032,0.0012,1.0063,-0.2441,0.2441,-0.2441,stable
88,-0.0024,0,1.0059,-0.3052,0.1831,-0.2441,stable
88,-0.0027,-0.0001,1.0059,-0.2441,0.1221,-0.2441,stable
88,-0.0038,0.0027,1.0049,-0.2441,0.1221,-0.2441,stable
88,-0.0043,0.0013,1.0042,-0.2441,0.1221,-0.1831,stable
87,-0.0037,0.0023,1.0061,-0.2441,0.1831,-0.2441,stable
87,-0.0044,0.0013,1.0066,-0.2441,0.1831,-0.2441,stable
87,-0.0039,0.0016,1.0056,-0.3052,0.1831,-0.1831,stable
87,-0.0055,0.0007,1.0052,-0.2441,0.1221,-0.2441,stable
87,-0.0032,0.0016,1.0062,-0.3052,0.1221,-0.2441,stable
87,-0.0038,0.0009,1.0057,-0.2441,0.2441,-0.2441,stable
87,-0.0033,0.0011,1.0065,-0.3052,0.1831,-0.2441,stable
87,-0.0039,0.0011,1.0057,-0.2441,0.1831,-0.1831,stable
87,-0.0043,0.0015,1.0055,-0.2441,0.2441,-0.1831,stable
87,-0.0039,0.0016,1.0057,-0.2441,0.1831,-0.3052,stable
87,-0.0032,0.0007,1.0061,-0.3052,0.1221,-0.1221,stable
87,-0.0035,0.0017,1.0063,-0.2441,0.1221,-0.2441,stable
87,-0.0043,0.001,1.0059,-0.2441,0.1221,-0.2441,stable
87,-0.0038,0.0012,1.0062,-0.2441,0.1221,-0.2441,stable
87,-0.0037,0.0006,1.0048,-0.2441,0.061,-0.1831,stable
87,-0.0035,0.0009,1.0063,-0.1831,0.1221,-0.2441,stable
87,-0.0038,0.0013,1.0068,-0.2441,0.1221,-0.1831,stable
87,-0.0042,0.0015,1.0068,-0.2441,0.2441,-0.1831,stable
87,-0.0034,0.0012,1.0048,-0.3052,0.1221,-0.2441,stable
87,-0.0051,0.001,1.0066,-0.2441,0.1831,-0.2441,stable
87,-0.0037,0.0015,1.0055,-0.2441,0.1221,-0.1831,stable
87,-0.004,0.0016,1.0065,-0.2441,0.1831,-0.1831,stable
87,-0.0037,0.0013,1.0051,-0.2441,0.1221,-0.2441,stable
87,-0.0034,0.0006,1.0063,-0.2441,0.1221,-0.2441,stable
87,-0.0033,0.0006,1.005,-0.2441,0.1221,-0.1831,stable
87,-0.0032,0.001,1.0057,-0.1831,0.2441,-0.2441,stable
88,-0.0034,0.0002,1.0056,-0.3052,0.1221,-0.2441,stable
87,-0.0035,0.001,1.0056,-0.2441,0.1221,-0.2441,stable
88,-0.0039,0.0013,1.0057,-0.2441,0.1221,-0.1831,stable
88,-0.0033,0.0018,1.0061,-0.2441,0.1831,-0.2441,stable
88,-0.0026,0.001,1.0067,-0.2441,0.1831,-0.1831,stable
88,-0.0042,0.0012,1.0048,-0.1831,0.2441,-0.2441,stable
88,-0.004,0.0004,1.006,-0.3052,0.1221,-0.2441,stable
88,-0.0032,0.0011,1.0057,-0.2441,0.1221,-0.2441,stable
88,-0.0046,0.0009,1.0073,-0.2441,0.1831,-0.1831,stable
88,-0.0034,0.0009,1.0048,-0.3052,0.1221,-0.2441,stable
88,-0.0043,0.0015,1.0062,-0.3052,0.1221,-0.1221,stable
88,-0.0033,0.0012,1.0045,-0.3052,0.061,-0.2441,stable
88,-0.0043,0.0012,1.006,-0.2441,0.1831,-0.1831,stable
88,-0.0042,0.0018,1.0057,-0.3052,0.061,-0.2441,stable
88,-0.004,0.002,1.0056,-0.3052,0.1831,-0.2441,stable
88,-0.0045,0.0009,1.0073,-0.1831,0.1221,-0.1831,stable
88,-0.0056,0.0005,1.0085,-0.2441,0.1831,-0.2441,stable
88,-0.0043,0.0007,1.0048,-0.2441,0.1221,-0.1831,stable
88,-0.004,0.0004,1.0059,-0.2441,0.1831,-0.1831,stable
88,-0.0039,0.0017,1.0061,-0.2441,0.2441,-0.2441,stable
88,-0.0051,-0.0001,1.0056,-0.2441,0.1831,-0.2441,stable
89,-0.0043,0.0012,1.0046,-0.2441,0.1221,-0.1831,stable
89,-0.0038,0.0012,1.0066,-0.3052,0.1831,-0.1831,stable
89,-0.0031,-0.0001,1.0062,-0.1831,0.1831,-0.1221,stable
90,-0.0039,-0.0009,1.0059,-0.3052,0.1831,-0.1831,stable
90,-0.0033,0.0016,1.005,-0.1831,0.1831,-0.1831,stable
90,-0.0033,0.0015,1.0054,-0.3052,0.1221,-0.2441,stable
89,-0.0026,0.001,1.0071,-0.3052,0.1831,-0.1831,stable
89,-0.0038,0.0009,1.006,-0.2441,0.1831,-0.2441,stable
89,-0.0035,0.002,1.006,-0.3052,0.1221,-0.1831,stable
89,-0.0037,0.0013,1.006,-0.2441,0.1221,-0.2441,stable
90,-0.0033,0.0005,1.006,-0.1831,0.1221,-0.1831,stable
89,-0.0023,0.0007,1.0061,-0.2441,0.1831,-0.1831,stable
90,-0.0038,0.0018,1.0063,-0.2441,0.1831,-0.1831,stable
90,-0.0049,0.0012,1.0062,-0.2441,0.1221,-0.2441,stable
90,-0.0034,0.0009,1.0067,-0.2441,0.1831,-0.2441,stable
90,-0.0038,0.0002,1.0067,-0.2441,0.1221,-0.1831,stable
91,-0.0028,0.0007,1.0061,-0.2441,0.2441,-0.2441,stable
91,-0.0031,0.0016,1.0079,-0.3052,0.1831,-0.2441,stable
91,-0.0033,0.0007,1.0054,-0.3052,0.1221,-0.3052,stable
90,-0.0033,-0.0001,1.006,-0.2441,0.1221,-0.2441,stable
91,-0.0034,0.0004,1.0056,-0.3052,0.1221,-0.2441,stable
92,-0.0042,-0.0001,1.0061,-0.3052,0.1221,-0.2441,stable
92,-0.0032,0.0011,1.0065,-0.3052,0.2441,-0.1831,stable
93,-0.0022,0.001,1.0068,-0.1831,0.1831,-0.2441,stable
93,-0.0037,0.0004,1.0062,-0.3052,0.1831,-0.2441,stable
91,-0.004,0.0004,1.0051,-0.3052,0.1831,-0.1831,stable
91,-0.0034,0.0011,1.0054,-0.2441,0.061,-0.2441,stable
92,-0.004,0.0022,1.0073,-0.2441,0.1221,-0.1221,stable
92,-0.0037,0.0026,1.0048,-0.3052,0.1221,-0.2441,stable
92,-0.0038,0.0015,1.0049,-0.2441,0.1221,-0.1831,stable
93,-0.0045,0.0015,1.0059,-0.2441,0.1221,-0.1831,stable
91,-0.0035,-0.0002,1.0062,-0.2441,0.1831,-0.2441,stable
89,-0.0031,0.0013,1.007,-0.3052,0.1831,-0.2441,stable
89,-0.0029,0.0026,1.0063,-0.2441,0.1831,-0.1831,stable
88,-0.004,0.0021,1.0066,-0.2441,0.1221,-0.2441,stable
88,-0.0023,0.0012,1.0048,-0.2441,0.2441,-0.1831,stable
88,-0.0029,0.0004,1.0068,-0.3662,0.1831,-0.3052,stable
89,-0.0035,0.0002,1.0057,-0.1831,0.1221,-0.2441,stable
91,-0.0023,0.0004,1.0045,-0.2441,0.1831,-0.1831,stable
93,-0.0033,-0.0001,1.0072,-0.1831,0.1221,-0.2441,stable
95,-0.0043,0.001,1.0057,-0.2441,0.1831,-0.1831,stable
94,-0.0038,0.001,1.0049,-0.2441,0.2441,-0.2441,stable
93,-0.0017,-0.0004,1.0061,-0.3662,0.1221,-0.1831,stable
91,-0.0034,0.0002,1.0061,-0.2441,0.061,-0.3052,stable
90,-0.0023,0.0009,1.0074,-0.2441,0.1831,-0.2441,stable
89,-0.0042,0.0011,1.0055,-0.1831,0.1831,-0.2441,stable
89,-0.0034,0.0018,1.0068,-0.2441,0.061,-0.1831,stable
